GMT-03:00,Altura Preenchida,Altura Prevista,Battery(v),Filtro Fraco Pressure_S1,Filtro Fraco Pressure_S2,Filtro Medio Pressure_S1,Filtro Medio Pressure_S2,Flag_Battery(v),Flag_GMT-03:00,Flag_Pressure_S1,Flag_Pressure_S2,Pressure_S1,Pressure_S2,Resíduo,Tipo_de_Filtro,Flag_origem,Altura Final,datetime_utc
2025-09-21 10:00:00,0.409,0.56,4.18360655737705,0.409,0.442,0.358,0.391,0.0,0.0,0.0,0.0,0.409,0.442,-0.15100000000000008,Filtro Fraco Pressure_S1,Dado medido,0.409,2025-09-21 10:00:00
2025-09-21 10:05:00,0.399,0.549,4.170081967213115,0.399,0.433,0.359,0.392,0.0,0.0,0.0,0.0,0.414,0.451,-0.15000000000000002,Filtro Fraco Pressure_S1,Dado previsto/redundância,0.398,2025-09-21 10:05:00
2025-09-21 10:10:00,0.389,0.538,4.191120218579235,0.389,0.423,0.36,0.393,0.0,0.0,0.0,0.0,0.393,0.43,-0.14900000000000002,Filtro Fraco Pressure_S1,Dado previsto/redundância,0.387,2025-09-21 10:10:00
2025-09-21 10:15:00,0.378,0.527,4.1670765027322405,0.378,0.412,0.362,0.395,0.0,0.0,0.0,0.0,0.377,0.419,-0.14900000000000002,Filtro Fraco Pressure_S1,Dado previsto/redundância,0.375,2025-09-21 10:15:00
2025-09-21 10:20:00,0.365,0.516,4.186612021857924,0.365,0.401,0.364,0.397,0.0,0.0,0.0,0.0,0.372,0.406,-0.15100000000000002,Filtro Fraco Pressure_S1,Dado previsto/redundância,0.363,2025-09-21 10:20:00
2025-09-21 10:25:00,0.352,0.504,4.168579234972678,0.352,0.387,0.366,0.4,0.0,0.0,0.0,0.0,0.367,0.4,-0.15200000000000002,Filtro Fraco Pressure_S1,Dado previsto/redundância,0.349,2025-09-21 10:25:00
2025-09-21 10:30:00,0.338,0.493,4.1941256830601095,0.338,0.373,0.369,0.403,0.0,0.0,0.0,0.0,0.338,0.373,-0.15499999999999997,Filtro Fraco Pressure_S1,Dado medido,0.336,2025-09-21 10:30:00
2025-09-21 10:35:00,0.323,0.481,4.176092896174864,0.323,0.358,0.372,0.406,0.0,0.0,0.0,0.0,0.292,0.328,-0.15799999999999997,Filtro Fraco Pressure_S1,Dado previsto/redundância,0.322,2025-09-21 10:35:00
2025-09-21 10:40:00,0.308,0.47,4.203142076502733,0.308,0.343,0.375,0.409,0.0,0.0,0.0,0.0,0.304,0.335,-0.16199999999999998,Filtro Fraco Pressure_S1,Dado previsto/redundância,0.308,2025-09-21 10:40:00
2025-09-21 10:45:00,0.294,0.459,4.179098360655738,0.294,0.328,0.379,0.413,0.0,0.0,0.0,0.0,0.328,0.353,-0.16500000000000004,Filtro Fraco Pressure_S1,Dado previsto/redundância,0.294,2025-09-21 10:45:00
2025-09-21 10:50:00,0.28,0.448,4.206147540983607,0.28,0.314,0.383,0.417,0.0,0.0,0.0,0.0,0.278,0.316,-0.16799999999999998,Filtro Fraco Pressure_S1,Dado previsto/redundância,0.281,2025-09-21 10:50:00
2025-09-21 10:55:00,0.267,0.437,4.188114754098361,0.267,0.301,0.388,0.422,0.0,0.0,0.0,0.0,0.262,0.305,-0.16999999999999998,Filtro Fraco Pressure_S1,Dado previsto/redundância,0.27,2025-09-21 10:55:00
2025-09-21 11:00:00,0.256,0.427,4.213661202185793,0.256,0.29,0.393,0.427,0.0,0.0,0.0,0.0,0.254,0.291,-0.17099999999999999,Filtro Fraco Pressure_S1,Dado previsto/redundância,0.259,2025-09-21 11:00:00
2025-09-21 11:05:00,0.247,0.417,4.192622950819673,0.247,0.281,0.398,0.432,0.0,0.0,0.0,0.0,0.234,0.269,-0.16999999999999998,Filtro Fraco Pressure_S1,Dado previsto/redundância,0.25,2025-09-21 11:05:00
2025-09-21 11:10:00,0.239,0.408,4.218169398907104,0.239,0.274,0.404,0.438,0.0,0.0,0.0,0.0,0.228,0.261,-0.16899999999999998,Filtro Fraco Pressure_S1,Dado previsto/redundância,0.242,2025-09-21 11:10:00
2025-09-21 11:15:00,0.233,0.399,4.191120218579235,0.233,0.268,0.41,0.444,0.0,0.0,0.0,0.0,0.239,0.274,-0.166,Filtro Fraco Pressure_S1,Dado previsto/redundância,0.235,2025-09-21 11:15:00
2025-09-21 11:20:00,0.227,0.391,4.219672131147541,0.227,0.263,0.416,0.45,0.0,0.0,0.0,0.0,0.232,0.259,-0.164,Filtro Fraco Pressure_S1,Dado previsto/redundância,0.229,2025-09-21 11:20:00
2025-09-21 11:25:00,0.223,0.384,4.200136612021859,0.223,0.259,0.423,0.457,0.0,0.0,0.0,0.0,0.227,0.262,-0.161,Filtro Fraco Pressure_S1,Dado previsto/redundância,0.223,2025-09-21 11:25:00
2025-09-21 11:30:00,0.217,0.378,4.224180327868853,0.217,0.254,0.43,0.464,0.0,0.0,0.0,0.0,0.209,0.242,-0.161,Filtro Fraco Pressure_S1,Dado previsto/redundância,0.216,2025-09-21 11:30:00
2025-09-21 11:35:00,0.211,0.373,4.201639344262295,0.211,0.249,0.437,0.472,0.0,0.0,0.0,0.0,0.195,0.244,-0.162,Filtro Fraco Pressure_S1,Dado previsto/redundância,0.208,2025-09-21 11:35:00
2025-09-21 11:40:00,0.204,0.369,4.228688524590164,0.204,0.241,0.445,0.48,0.0,0.0,0.0,0.0,0.201,0.24,-0.165,Filtro Fraco Pressure_S1,Dado previsto/redundância,0.2,2025-09-21 11:40:00
2025-09-21 11:45:00,0.195,0.366,4.200136612021859,0.195,0.232,0.453,0.488,0.0,0.0,0.0,0.0,0.193,0.234,-0.17099999999999999,Filtro Fraco Pressure_S1,Dado previsto/redundância,0.19,2025-09-21 11:45:00
2025-09-21 11:50:00,0.183,0.365,4.228688524590164,0.183,0.221,0.461,0.496,0.0,0.0,0.0,0.0,0.223,0.253,-0.182,Filtro Fraco Pressure_S1,Dado previsto/redundância,0.179,2025-09-21 11:50:00
2025-09-21 11:55:00,0.171,0.364,4.212158469945355,0.171,0.208,0.47,0.505,0.0,0.0,0.0,0.0,0.172,0.211,-0.19299999999999998,Filtro Fraco Pressure_S1,Dado previsto/redundância,0.167,2025-09-21 11:55:00
2025-09-21 12:00:00,0.157,0.365,4.2377049180327875,0.157,0.194,0.479,0.514,0.0,0.0,0.0,0.0,0.172,0.206,-0.208,Filtro Fraco Pressure_S1,Dado previsto/redundância,0.156,2025-09-21 12:00:00
2025-09-21 12:05:00,0.144,0.367,4.21516393442623,0.144,0.18,0.489,0.524,0.0,0.0,0.0,0.0,0.189,0.222,-0.223,Filtro Fraco Pressure_S1,Dado previsto/redundância,0.144,2025-09-21 12:05:00
2025-09-21 12:10:00,0.132,0.37,4.239207650273224,0.132,0.167,0.499,0.534,0.0,0.0,0.0,0.0,0.093,0.133,-0.238,Filtro Fraco Pressure_S1,Dado previsto/redundância,0.135,2025-09-21 12:10:00
2025-09-21 12:15:00,0.123,0.375,4.212158469945355,0.123,0.158,0.509,0.544,0.0,0.0,0.0,0.0,0.105,0.144,-0.252,Filtro Fraco Pressure_S1,Dado previsto/redundância,0.127,2025-09-21 12:15:00
2025-09-21 12:20:00,0.118,0.381,4.239207650273224,0.118,0.152,0.519,0.554,0.0,0.0,0.0,0.0,0.111,0.137,-0.263,Filtro Fraco Pressure_S1,Dado previsto/redundância,0.122,2025-09-21 12:20:00
2025-09-21 12:25:00,0.116,0.388,4.216666666666667,0.116,0.15,0.53,0.565,0.0,0.0,0.0,0.0,0.09,0.124,-0.272,Filtro Fraco Pressure_S1,Dado previsto/redundância,0.121,2025-09-21 12:25:00
2025-09-21 12:30:00,0.119,0.396,4.242213114754098,0.119,0.154,0.541,0.576,0.0,0.0,0.0,0.0,0.09,0.126,-0.277,Filtro Fraco Pressure_S1,Dado previsto/redundância,0.123,2025-09-21 12:30:00
2025-09-21 12:35:00,0.127,0.406,4.21516393442623,0.127,0.162,0.552,0.587,0.0,0.0,0.0,0.0,0.119,0.157,-0.279,Filtro Fraco Pressure_S1,Dado previsto/redundância,0.129,2025-09-21 12:35:00
2025-09-21 12:40:00,0.139,0.417,4.240710382513662,0.139,0.174,0.564,0.599,0.0,0.0,0.0,0.0,0.153,0.184,-0.27799999999999997,Filtro Fraco Pressure_S1,Dado previsto/redundância,0.139,2025-09-21 12:40:00
2025-09-21 12:45:00,0.153,0.429,4.216666666666667,0.153,0.19,0.575,0.611,0.0,0.0,0.0,0.0,0.188,0.225,-0.276,Filtro Fraco Pressure_S1,Dado previsto/redundância,0.152,2025-09-21 12:45:00
2025-09-21 12:50:00,0.17,0.443,4.242213114754098,0.17,0.208,0.587,0.623,0.0,0.0,0.0,0.0,0.2,0.238,-0.273,Filtro Fraco Pressure_S1,Dado previsto/redundância,0.168,2025-09-21 12:50:00
2025-09-21 12:55:00,0.189,0.457,4.213661202185793,0.189,0.227,0.6,0.635,0.0,0.0,0.0,0.0,0.199,0.237,-0.268,Filtro Fraco Pressure_S1,Dado previsto/redundância,0.186,2025-09-21 12:55:00
2025-09-21 13:00:00,0.209,0.472,4.242213114754098,0.209,0.248,0.612,0.648,0.0,0.0,0.0,0.0,0.204,0.241,-0.263,Filtro Fraco Pressure_S1,Dado previsto/redundância,0.206,2025-09-21 13:00:00
2025-09-21 13:05:00,0.23,0.489,4.216666666666667,0.23,0.269,0.625,0.66,0.0,0.0,0.0,0.0,0.223,0.259,-0.259,Filtro Fraco Pressure_S1,Dado previsto/redundância,0.227,2025-09-21 13:05:00
2025-09-21 13:10:00,0.251,0.506,4.245218579234973,0.251,0.29,0.638,0.673,0.0,0.0,0.0,0.0,0.243,0.284,-0.255,Filtro Fraco Pressure_S1,Dado previsto/redundância,0.25,2025-09-21 13:10:00
2025-09-21 13:15:00,0.273,0.525,4.21516393442623,0.273,0.312,0.651,0.686,0.0,0.0,0.0,0.0,0.251,0.297,-0.252,Filtro Fraco Pressure_S1,Dado previsto/redundância,0.272,2025-09-21 13:15:00
2025-09-21 13:20:00,0.295,0.544,4.245218579234973,0.295,0.334,0.664,0.699,0.0,0.0,0.0,0.0,0.283,0.32,-0.24900000000000005,Filtro Fraco Pressure_S1,Dado previsto/redundância,0.296,2025-09-21 13:20:00
2025-09-21 13:25:00,0.318,0.564,4.213661202185793,0.318,0.356,0.677,0.713,0.0,0.0,0.0,0.0,0.318,0.359,-0.24599999999999994,Filtro Fraco Pressure_S1,Dado medido,0.319,2025-09-21 13:25:00
2025-09-21 13:30:00,0.342,0.584,4.243715846994536,0.342,0.379,0.691,0.726,0.0,0.0,0.0,0.0,0.37,0.405,-0.24199999999999994,Filtro Fraco Pressure_S1,Dado previsto/redundância,0.343,2025-09-21 13:30:00
2025-09-21 13:35:00,0.367,0.605,4.22568306010929,0.367,0.403,0.704,0.74,0.0,0.0,0.0,0.0,0.371,0.405,-0.238,Filtro Fraco Pressure_S1,Dado previsto/redundância,0.368,2025-09-21 13:35:00
2025-09-21 13:40:00,0.392,0.627,4.2512295081967215,0.392,0.427,0.718,0.754,0.0,0.0,0.0,0.0,0.391,0.425,-0.235,Filtro Fraco Pressure_S1,Dado previsto/redundância,0.393,2025-09-21 13:40:00
2025-09-21 13:45:00,0.419,0.649,4.221174863387978,0.419,0.453,0.732,0.767,0.0,0.0,0.0,0.0,0.408,0.442,-0.23000000000000004,Filtro Fraco Pressure_S1,Dado previsto/redundância,0.419,2025-09-21 13:45:00
2025-09-21 13:50:00,0.446,0.671,4.2512295081967215,0.446,0.481,0.746,0.781,0.0,0.0,0.0,0.0,0.449,0.477,-0.22500000000000003,Filtro Fraco Pressure_S1,Dado previsto/redundância,0.447,2025-09-21 13:50:00
2025-09-21 13:55:00,0.475,0.694,4.2346994535519125,0.475,0.509,0.76,0.795,0.0,0.0,0.0,0.0,0.481,0.517,-0.21899999999999997,Filtro Fraco Pressure_S1,Dado previsto/redundância,0.475,2025-09-21 13:55:00
2025-09-21 14:00:00,0.505,0.717,4.258743169398907,0.505,0.539,0.773,0.809,0.0,0.0,0.0,0.0,0.505,0.538,-0.21199999999999997,Filtro Fraco Pressure_S1,Dado medido,0.505,2025-09-21 14:00:00
2025-09-21 14:05:00,0.537,0.74,4.233196721311476,0.537,0.571,0.787,0.823,0.0,0.0,0.0,0.0,0.519,0.555,-0.20299999999999996,Filtro Fraco Pressure_S1,Dado previsto/redundância,0.536,2025-09-21 14:05:00
2025-09-21 14:10:00,0.569,0.764,4.255737704918033,0.569,0.604,0.801,0.837,0.0,0.0,0.0,0.0,0.561,0.598,-0.19500000000000006,Filtro Fraco Pressure_S1,Dado previsto/redundância,0.568,2025-09-21 14:10:00
2025-09-21 14:15:00,0.603,0.787,4.228688524590164,0.603,0.638,0.815,0.851,0.0,0.0,0.0,0.0,0.601,0.641,-0.18400000000000005,Filtro Fraco Pressure_S1,Dado previsto/redundância,0.602,2025-09-21 14:15:00
2025-09-21 14:20:00,0.638,0.81,4.254234972677596,0.638,0.673,0.829,0.865,0.0,0.0,0.0,0.0,0.664,0.696,-0.17200000000000004,Filtro Fraco Pressure_S1,Dado previsto/redundância,0.638,2025-09-21 14:20:00
2025-09-21 14:25:00,0.675,0.833,4.2346994535519125,0.675,0.71,0.843,0.879,0.0,0.0,0.0,0.0,0.697,0.732,-0.15799999999999992,Filtro Fraco Pressure_S1,Dado previsto/redundância,0.675,2025-09-21 14:25:00
2025-09-21 14:30:00,0.712,0.855,4.254234972677596,0.712,0.747,0.856,0.892,0.0,0.0,0.0,0.0,0.712,0.746,-0.14300000000000002,Filtro Fraco Pressure_S1,Dado medido,0.713,2025-09-21 14:30:00
2025-09-21 14:35:00,0.751,0.878,4.233196721311476,0.751,0.786,0.87,0.906,0.0,0.0,0.0,0.0,0.74,0.772,-0.127,Filtro Fraco Pressure_S1,Dado previsto/redundância,0.752,2025-09-21 14:35:00
2025-09-21 14:40:00,0.79,0.9,4.257240437158471,0.79,0.826,0.884,0.919,0.0,0.0,0.0,0.0,0.78,0.82,-0.10999999999999999,Filtro Fraco Pressure_S1,Dado previsto/redundância,0.792,2025-09-21 14:40:00
2025-09-21 14:45:00,0.831,0.921,4.228688524590164,0.831,0.866,0.897,0.933,0.0,0.0,0.0,0.0,0.82,0.851,-0.09000000000000008,Filtro Fraco Pressure_S1,Dado previsto/redundância,0.832,2025-09-21 14:45:00
2025-09-21 14:50:00,0.871,0.942,4.257240437158471,0.871,0.907,0.91,0.946,0.0,0.0,0.0,0.0,0.864,0.9,-0.07099999999999995,Filtro Fraco Pressure_S1,Dado previsto/redundância,0.873,2025-09-21 14:50:00
