GMT-03:00,Altura Preenchida,Altura Prevista,Battery(v),Filtro Fraco Pressure_S1,Filtro Medio Pressure_S1,Flag_Battery(v),Flag_GMT-03:00,Flag_Pressure_S1,Pressure_S1,Resíduo,Tipo_de_Filtro,Flag_origem,Altura Final,datetime_utc
2025-09-21 10:00:00,0.264,-0.09,4.270765027322405,0.264,0.194,0.0,0.0,0.0,0.263,0.354,Filtro Fraco Pressure_S1,Dado previsto/redundância,0.264,2025-09-21 10:00:00
2025-09-21 10:05:00,0.255,-0.104,4.266256830601093,0.255,0.197,0.0,0.0,0.0,0.226,0.359,Filtro Fraco Pressure_S1,Dado previsto/redundância,0.255,2025-09-21 10:05:00
2025-09-21 10:10:00,0.246,-0.118,4.275273224043716,0.246,0.199,0.0,0.0,0.0,0.224,0.364,Filtro Fraco Pressure_S1,Dado previsto/redundância,0.247,2025-09-21 10:10:00
2025-09-21 10:15:00,0.238,-0.132,4.267759562841531,0.238,0.202,0.0,0.0,0.0,0.226,0.37,Filtro Fraco Pressure_S1,Dado previsto/redundância,0.239,2025-09-21 10:15:00
2025-09-21 10:20:00,0.231,-0.146,4.275273224043716,0.231,0.205,0.0,0.0,0.0,0.228,0.377,Filtro Fraco Pressure_S1,Dado previsto/redundância,0.232,2025-09-21 10:20:00
2025-09-21 10:25:00,0.225,-0.16,4.270765027322405,0.225,0.209,0.0,0.0,0.0,0.217,0.385,Filtro Fraco Pressure_S1,Dado previsto/redundância,0.225,2025-09-21 10:25:00
2025-09-21 10:30:00,0.22,-0.175,4.276775956284153,0.22,0.213,0.0,0.0,0.0,0.239,0.395,Filtro Fraco Pressure_S1,Dado previsto/redundância,0.219,2025-09-21 10:30:00
2025-09-21 10:35:00,0.215,-0.189,4.264754098360656,0.215,0.217,0.0,0.0,0.0,0.242,0.404,Filtro Fraco Pressure_S1,Dado previsto/redundância,0.215,2025-09-21 10:35:00
2025-09-21 10:40:00,0.211,-0.203,4.273770491803279,0.211,0.221,0.0,0.0,0.0,0.201,0.41400000000000003,Filtro Fraco Pressure_S1,Dado previsto/redundância,0.211,2025-09-21 10:40:00
2025-09-21 10:45:00,0.207,-0.217,4.263251366120219,0.207,0.226,0.0,0.0,0.0,0.218,0.424,Filtro Fraco Pressure_S1,Dado previsto/redundância,0.208,2025-09-21 10:45:00
2025-09-21 10:50:00,0.204,-0.232,4.275273224043716,0.204,0.231,0.0,0.0,0.0,0.199,0.436,Filtro Fraco Pressure_S1,Dado previsto/redundância,0.205,2025-09-21 10:50:00
2025-09-21 10:55:00,0.201,-0.246,4.272267759562842,0.201,0.237,0.0,0.0,0.0,0.212,0.447,Filtro Fraco Pressure_S1,Dado previsto/redundância,0.203,2025-09-21 10:55:00
2025-09-21 11:00:00,0.199,-0.259,4.2782786885245905,0.199,0.243,0.0,0.0,0.0,0.196,0.458,Filtro Fraco Pressure_S1,Dado previsto/redundância,0.201,2025-09-21 11:00:00
2025-09-21 11:05:00,0.197,-0.273,4.267759562841531,0.197,0.249,0.0,0.0,0.0,0.167,0.47000000000000003,Filtro Fraco Pressure_S1,Dado previsto/redundância,0.198,2025-09-21 11:05:00
2025-09-21 11:10:00,0.194,-0.286,4.281284153005465,0.194,0.256,0.0,0.0,0.0,0.205,0.48,Filtro Fraco Pressure_S1,Dado previsto/redundância,0.195,2025-09-21 11:10:00
2025-09-21 11:15:00,0.191,-0.299,4.270765027322405,0.191,0.262,0.0,0.0,0.0,0.177,0.49,Filtro Fraco Pressure_S1,Dado previsto/redundância,0.191,2025-09-21 11:15:00
2025-09-21 11:20:00,0.188,-0.311,4.273770491803279,0.188,0.27,0.0,0.0,0.0,0.193,0.499,Filtro Fraco Pressure_S1,Dado previsto/redundância,0.186,2025-09-21 11:20:00
2025-09-21 11:25:00,0.183,-0.323,4.267759562841531,0.183,0.277,0.0,0.0,0.0,0.125,0.506,Filtro Fraco Pressure_S1,Dado previsto/redundância,0.18,2025-09-21 11:25:00
2025-09-21 11:30:00,0.177,-0.334,4.275273224043716,0.177,0.285,0.0,0.0,0.0,0.238,0.511,Filtro Fraco Pressure_S1,Dado previsto/redundância,0.173,2025-09-21 11:30:00
2025-09-21 11:35:00,0.169,-0.344,4.269262295081967,0.169,0.294,0.0,0.0,0.0,0.147,0.513,Filtro Fraco Pressure_S1,Dado previsto/redundância,0.165,2025-09-21 11:35:00
2025-09-21 11:40:00,0.16,-0.353,4.281284153005465,0.16,0.302,0.0,0.0,0.0,0.217,0.513,Filtro Fraco Pressure_S1,Dado previsto/redundância,0.157,2025-09-21 11:40:00
2025-09-21 11:45:00,0.15,-0.362,4.270765027322405,0.15,0.311,0.0,0.0,0.0,0.135,0.512,Filtro Fraco Pressure_S1,Dado previsto/redundância,0.148,2025-09-21 11:45:00
2025-09-21 11:50:00,0.14,-0.369,4.284289617486339,0.14,0.32,0.0,0.0,0.0,0.201,0.509,Filtro Fraco Pressure_S1,Dado previsto/redundância,0.14,2025-09-21 11:50:00
2025-09-21 11:55:00,0.13,-0.376,4.282786885245902,0.13,0.33,0.0,0.0,0.0,0.132,0.506,Filtro Fraco Pressure_S1,Dado previsto/redundância,0.133,2025-09-21 11:55:00
2025-09-21 12:00:00,0.123,-0.381,4.2918032786885245,0.123,0.34,0.0,0.0,0.0,0.05,0.504,Filtro Fraco Pressure_S1,Dado previsto/redundância,0.127,2025-09-21 12:00:00
2025-09-21 12:05:00,0.117,-0.385,4.284289617486339,0.117,0.35,0.0,0.0,0.0,0.16,0.502,Filtro Fraco Pressure_S1,Dado previsto/redundância,0.123,2025-09-21 12:05:00
2025-09-21 12:10:00,0.115,-0.388,4.297814207650274,0.115,0.361,0.0,0.0,0.0,0.091,0.503,Filtro Fraco Pressure_S1,Dado previsto/redundância,0.121,2025-09-21 12:10:00
2025-09-21 12:15:00,0.115,-0.389,4.296311475409836,0.115,0.371,0.0,0.0,0.0,0.039,0.504,Filtro Fraco Pressure_S1,Dado previsto/redundância,0.12,2025-09-21 12:15:00
2025-09-21 12:20:00,0.117,-0.388,4.305327868852459,0.117,0.382,0.0,0.0,0.0,0.022,0.505,Filtro Fraco Pressure_S1,Dado previsto/redundância,0.12,2025-09-21 12:20:00
2025-09-21 12:25:00,0.121,-0.387,4.297814207650274,0.121,0.394,0.0,0.0,0.0,0.196,0.508,Filtro Fraco Pressure_S1,Dado previsto/redundância,0.12,2025-09-21 12:25:00
2025-09-21 12:30:00,0.125,-0.383,4.311338797814208,0.125,0.406,0.0,0.0,0.0,0.175,0.508,Filtro Fraco Pressure_S1,Dado previsto/redundância,0.121,2025-09-21 12:30:00
2025-09-21 12:35:00,0.127,-0.378,4.308333333333334,0.127,0.417,0.0,0.0,0.0,0.16,0.505,Filtro Fraco Pressure_S1,Dado previsto/redundância,0.122,2025-09-21 12:35:00
2025-09-21 12:40:00,0.128,-0.371,4.3218579234972685,0.128,0.43,0.0,0.0,0.0,0.213,0.499,Filtro Fraco Pressure_S1,Dado previsto/redundância,0.122,2025-09-21 12:40:00
2025-09-21 12:45:00,0.127,-0.362,4.314344262295082,0.127,0.442,0.0,0.0,0.0,0.039,0.489,Filtro Fraco Pressure_S1,Dado previsto/redundância,0.121,2025-09-21 12:45:00
2025-09-21 12:50:00,0.124,-0.352,4.330874316939891,0.124,0.455,0.0,0.0,0.0,0.176,0.476,Filtro Fraco Pressure_S1,Dado previsto/redundância,0.119,2025-09-21 12:50:00
2025-09-21 12:55:00,0.119,-0.339,4.329371584699454,0.119,0.468,0.0,0.0,0.0,0.17,0.458,Filtro Fraco Pressure_S1,Dado previsto/redundância,0.118,2025-09-21 12:55:00
2025-09-21 13:00:00,0.115,-0.325,4.344398907103826,0.115,0.481,0.0,0.0,0.0,-0.01,0.44,Filtro Fraco Pressure_S1,Dado previsto/redundância,0.116,2025-09-21 13:00:00
2025-09-21 13:05:00,0.112,-0.308,4.341393442622951,0.112,0.494,0.0,0.0,0.0,0.098,0.42,Filtro Fraco Pressure_S1,Dado previsto/redundância,0.115,2025-09-21 13:05:00
2025-09-21 13:10:00,0.111,-0.29,4.360928961748634,0.111,0.507,0.0,0.0,0.0,0.085,0.40099999999999997,Filtro Fraco Pressure_S1,Dado previsto/redundância,0.115,2025-09-21 13:10:00
2025-09-21 13:15:00,0.112,-0.27,4.360928961748634,0.112,0.521,0.0,0.0,0.0,0.18,0.382,Filtro Fraco Pressure_S1,Dado previsto/redundância,0.117,2025-09-21 13:15:00
2025-09-21 13:20:00,0.117,-0.248,4.374453551912569,0.117,0.535,0.0,0.0,0.0,0.106,0.365,Filtro Fraco Pressure_S1,Dado previsto/redundância,0.121,2025-09-21 13:20:00
2025-09-21 13:25:00,0.125,-0.224,4.374453551912569,0.125,0.549,0.0,0.0,0.0,0.124,0.349,Filtro Fraco Pressure_S1,Dado previsto/redundância,0.128,2025-09-21 13:25:00
2025-09-21 13:30:00,0.136,-0.198,4.386475409836066,0.136,0.563,0.0,0.0,0.0,0.134,0.334,Filtro Fraco Pressure_S1,Dado previsto/redundância,0.138,2025-09-21 13:30:00
2025-09-21 13:35:00,0.15,-0.17,4.381967213114755,0.15,0.577,0.0,0.0,0.0,0.096,0.32,Filtro Fraco Pressure_S1,Dado previsto/redundância,0.15,2025-09-21 13:35:00
2025-09-21 13:40:00,0.166,-0.141,4.393989071038252,0.166,0.591,0.0,0.0,0.0,0.218,0.307,Filtro Fraco Pressure_S1,Dado previsto/redundância,0.165,2025-09-21 13:40:00
2025-09-21 13:45:00,0.185,-0.11,4.396994535519126,0.185,0.605,0.0,0.0,0.0,0.205,0.295,Filtro Fraco Pressure_S1,Dado previsto/redundância,0.183,2025-09-21 13:45:00
2025-09-21 13:50:00,0.205,-0.077,4.404508196721312,0.205,0.62,0.0,0.0,0.0,0.219,0.282,Filtro Fraco Pressure_S1,Dado previsto/redundância,0.203,2025-09-21 13:50:00
2025-09-21 13:55:00,0.227,-0.042,4.401502732240438,0.227,0.634,0.0,0.0,0.0,0.224,0.269,Filtro Fraco Pressure_S1,Dado previsto/redundância,0.225,2025-09-21 13:55:00
2025-09-21 14:00:00,0.251,-0.006,4.412021857923498,0.251,0.649,0.0,0.0,0.0,0.243,0.257,Filtro Fraco Pressure_S1,Dado previsto/redundância,0.248,2025-09-21 14:00:00
2025-09-21 14:05:00,0.276,0.031,4.4030054644808745,0.276,0.663,0.0,0.0,0.0,0.251,0.24500000000000002,Filtro Fraco Pressure_S1,Dado previsto/redundância,0.274,2025-09-21 14:05:00
