Título;Autor;Ano;Categoria;Descrição;Link
Fundamentos de Oceanografia;Sverdrup et al.;2003;Oceanografia;"Obra clássica que aborda os princípios físicos e químicos dos oceanos.";https://exemplo.com/fundamentos-oceanografia
Mapeamento Subaquático;Bastos, A.;2021;Geociências;"Aplicações de sonar multifeixe e modelagem do fundo marinho em ambientes costeiros.";https://exemplo.com/mapeamento-subaquatico
Machine Learning Marinho;Souza, L.;2024;Tecnologia;"Estudo sobre o uso de algoritmos de aprendizado de máquina na classificação de habitats marinhos.";https://exemplo.com/ml-marinho
Gestão Ambiental Costeira;Oliveira, M.;2019;Gestão Ambiental;"Discussão sobre políticas públicas e governança de zonas costeiras.";https://exemplo.com/gestao-costeira
Introdução à Hidrodinâmica;Silva, R.;2018;Oceanografia;"Abordagem teórica e prática dos movimentos das massas d’água.";https://exemplo.com/hidrodinamica
Ecologia Bentônica;Tavares, P.;2020;Biologia Marinha;"Descrição das comunidades bentônicas e sua importância ecológica.";https://exemplo.com/ecologia-bentonica
Sistemas de Monitoramento Oceânico;Ferreira, C.;2023;Tecnologia;"Integração de sensores e dados em tempo real para gestão ambiental marinha.";https://exemplo.com/monitoramento-oceanico
Modelagem de Marés e Correntes;Borges, D.;2022;Modelagem Numérica;"Aplicação de modelos hidrodinâmicos para previsão de marés.";https://exemplo.com/modelagem-mares
Sensoriamento Remoto Costeiro;Costa, L.;2020;Geociências;"Uso de imagens de satélite para análise da morfodinâmica costeira.";https://exemplo.com/sensoriamento-costeiro
Habitat Mapping e EUNIS;"Bastos, A. & Souza, L.";2024;Geociências;"Metodologia EUNIS aplicada ao mapeamento de habitats bentônicos.";https://exemplo.com/eunis-habitat
"PLATAFORMA AUTOMATIZADA PARA PREVISÃO, RECONSTRUÇÃO HARMÔNICA E CONTROLE DE QUALIDADE DE MARÉ EM TEMPO REAL: INOVAÇÃO PARA À HIDROGRAFIA OPERACIONAL";"Luiz Claudio Cindra de Souza; Alex Evaristo da Silva; Thiago Freitas do Nascimento; Aureo Manente Filho";2025;"Desafios da Hidrografia na Transformação Digital";"Trabalho apresentado no Simpósio Brasileiro de Hidrografia 2025 sobre previsão, reconstrução harmônica e controle de qualidade de maré em tempo real, com enfoque em inovação para hidrográfia operacional.";https://www.even3.com.br/anais/anais-simposio-brasileiro-de-hidrografia/1192847-plataforma-automatizada-para-previsao-reconstrucao-harmonica-e-controle-de-qualidade-de-mare-em-tempo-real--ino
"Statical Assessment of Extreme Events of Storm Surges in the Brazilian Continental Shelf from 1943 to 2023";"Paolo Alfredini; Lucas Fontanetti Martins; Luiz Claudio Cindra de Souza; Rafael Carvalho Neves; Priscila Moreira Farias; Fernando Alonso Martinez";2024;"Extreme meteorological phenomena / Climate Change / Coastal Engineering";"Análise estatística de eventos extremos de marés de tempestade na plataforma continental brasileira entre 1943 e 2023, usando séries temporais do modelo oceanográfico ERA5, identificando tendências de frequência e severidade em diferentes regiões costeiras.";https://drive.google.com/file/d/1p7PGOrxVybw17LuH0BHdklN0aRZ3-7Hq/view?usp=sharing
"VARIAÇÃO DIÁRIA DA ZONA EUFÓTICA NA LAGOA DA UFES";"Souza, L.C.C., Brito, W.V.F., Lopes, S.P.";2025;"Ecologia / Limnologia / Oceanografia";"Estudo da profundidade da zona eufótica na Lagoa da UFES, avaliando variações diárias e fatores que afetam a penetração de luz e produção primária, utilizando medidas horárias com disco de Secchi em três pontos da lagoa. Observou-se máxima profundidade às 15h, indicando hipereutrofização segundo o índice de Carlson.";https://even3.blob.core.windows.net/anais/162771.pdf
"APLICAÇÃO DE VEÍCULOS REMOTOS NÃO TRIPULADOS NO MAPEAMENTO DE AMBIENTES COSTEIROS";"Filipe Floriano da Cruz; Alex Evaristo da Silva, Luiz Claudio Cindra de Souza, Thiago Freitas do Nascimento, Aureo Manente Filho";2025;"Desafios da Hidrografia na Transformação Digital";"Trabalho apresentado no Simpósio Brasileiro de Hidrografia 2025 sobre a utilização de veículos remotos não tripulados (drones, ROVs) para mapeamento de ambientes costeiros, destacando metodologias, eficiência e aplicação prática em monitoramento ambiental.";https://www.even3.com.br/anais/anais-simposio-brasileiro-de-hidrografia/1192342-aplicacao-de-veiculos-remotos-nao-tripulados-no-mapeamento-de-ambientes-costeiros
